<<<<<<< HEAD
﻿faixa-etaria;genero;escolaridade;graduacao;atividade;conhece-chatgpt;utilizou-chatgpt;porque-utilizou-chatgpt;paraque-utilizou-chatgpt;grau-entendimento-perguntas;"percentual-resposta-errada
"; percentual-utilizadas;"utilidade
";"satisfatoria-experiencia
";"experiencia-com-chatgpt
";melhorias;utilizou-outros-ia  ;quais-ia;facilidade-uso-outras-ia;vantagem-desvantagem-outras-ia;beneficios-ia-profissao;outra-ia-facilite-trabalho;"o-que-deveria-propiciar
";quanto-ia-substituir;quando-ia-capacidade-substituir;quais-substituidos-ia;comentarios;;;;;;
50-59;Masculino;Doutorado;Engenharia ;Inovação ;Sim;Sim;Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Geração de ideias, Criação de conteúdo;4;3;4;4;3;4;Melhoria na compreensão de textos, Explicações mais detalhadas e justificativas., Habilidade de identificar sarcasmo e ironia., Fornecimento de suporte emocional e empatia durante as conversas., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), DALL-E, Google Translate;Melhores;Interação linguagem naturais ;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;RPA e Analytics BI;Otimização das tarefas cotidianas e coleta informações ;3;Em um futuro próximo;Back-office, ADM, RH;Obrigado ;;;;;;
40-49;Masculino;Superior Completo;Engenharia Elétrica;Instalações Elétricas Industriais.;Sim;Sim;Diversão/Curiosidade, Assistência pessoal;Esclarecimento de dúvidas gerais, Suporte técnico, Curiosidades e fatos triviais, Ajuda com resolução de problemas;2;3;1;2;2;2;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Habilidade de identificar sarcasmo e ironia., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta.;Não;;;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não ;Uma ferramenta que facilite...;2;Em um futuro distante;;;;;;;;
=======
50-59;Masculino;Doutorado;Engenheiro ;Inovação ;Sim;Sim;Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Geração de ideias, Criação de conteúdo;4;3;4;4;3;4;Melhoria na compreensão de textos, Explicações mais detalhadas e justificativas., Habilidade de identificar sarcasmo e ironia., Fornecimento de suporte emocional e empatia durante as conversas., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), DALL-E, Google Translate;Melhores;Interação linguagem naturais ;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;RPA e Analytics BI;Otimização das tarefas cotidianas e coleta informações ;3;Em um futuro próximo;Back-office, ADM, RH;Obrigado ;;;;;;
40-49;Masculino;Superior Completo;Engenheiro Eletricista;Instalações Elétricas Industriais.;Sim;Sim;Diversão/Curiosidade, Assistência pessoal;Esclarecimento de dúvidas gerais, Suporte técnico, Curiosidades e fatos triviais, Ajuda com resolução de problemas;2;3;1;2;2;2;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Habilidade de identificar sarcasmo e ironia., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta.;Não;;;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não ;Uma ferramenta que facilite...;2;Em um futuro distante;;;;;;;;
>>>>>>> 55a8913c004d3bf7715bab79d038d735de0e8c3c
25 -34;Masculino;Mestrado;Design;Designer. Mestrando em midia e tecnologia;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Revisão de textos, Geração de ideias, Tradução, Ajuda com resolução de problemas;4;3;3;4;4;5;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Midjourney, DALL-E, Google Translate, Shazam;Iguais;As de imagens sao bem interssantes, mídia que o chat gpt nao trabalha;Otimização de tempo, Automatização de tarefas;Nao;Leitura mais exata de dados e informacoes mais precisas de citacoes;1;Não sei dizer;;;;;;;;
35-39;Masculino;Superior Completo;Publicidade;Fotógrafo ;Sim;Sim;Diversão/Curiosidade, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos;4;2;3;4;3;5;Explicações mais detalhadas e justificativas., Disponibilidade da fonte de dados e referências caso necessário ;Sim;Siri (Apple), Alexa (Amazon), Midjourney, Bard ;Iguais;Geração de Imagens ;Otimização de tempo, Automatização de tarefas;Desenvolvimento de texto e revisão ;Sugestões de organização.;3;Em um futuro próximo;Redatores publicitários, uma redução drástica na quantidade de designers;;;;;;;
60+;Masculino;Mestrado;economia ;projetos;Sim;Não;;;;;;;;;;;Não utilizei nenhuma das anteriores;Nunca utilizei outras ferramentas.;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;não ;Buscar clientes e suas personas;3;Não sei dizer;TRL de projetos ;encontrar o nível de maturidade de um projeto é muito importante ;;;;;;
25 -34;Feminino;Mestrado;Design;Product designer;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Ajuda com resolução de problemas, aplicação em vagas de emprego;3;3;4;3;2;3;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Synthesia, DALL-E, Google Translate, Shazam, Bold360 (chatbot), Outro ChatBot (seja em website e/ou WhatsApp), looka;Iguais;;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo;looka, dall-e;Existem;2;Em um futuro distante;Nenhuma, apenas a facilitação de problemas simples e otimização de trabalhos maçantes. Complexidades cognitivas, emocionais, subjetividades e especificidades humanas (ex: levar em conta experiências culturais) não são replicáveis por inteligência artificial.;;;;;;;
<<<<<<< HEAD
40-49;Masculino;Mestrado;Design;Estudante de doutorado ;Sim;Não;;;;;;;;;;;Google Assistant, Midjourney, Google Translate, Outro ChatBot (seja em website e/ou WhatsApp);Muito melhores;;Aumento da produtividade, Redução de erros humanos, Otimização de tempo;Não ;Maior qualidade ;2;Em um futuro próximo;;;;;;;;
50-59;Masculino;Superior Completo;Ciências Econômicas;Designer;Sim;Não;;;;;;;;;;;Não utilizei nenhuma das anteriores;Nunca utilizei outras ferramentas.;;Aumento da produtividade, Otimização de tempo;Não;Melhoria na pesquisa;3;;;;;;;;;
25 -34;Masculino;Mestrado;Design (Bacharel);Docência ;Sim;Sim;Diversão/Curiosidade, Assistência pessoal;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Curiosidades e fatos triviais, Tradução, Ajuda com resolução de problemas;4;3;2;3;3;4;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Incorporação de conhecimento especializado em áreas específicas., Aumento da capacidade de compreender e gerar conteúdo multilíngue., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Alexa (Amazon), Cortana (Microsoft);Piores;"Não vejo vantagens, mas gosto de utilizar AI que geram imagens. As ""criações"" são bem interessantes, contudo não consigo pensar em muitas utilidades para as criações (a não ser talvez, as aulternativas criads para ilustração de ""fanfics"")";Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas;Não ;Penso que análise de imagens poderia ajudar ;2;Não sei dizer;acho que será difícil a IA substituir um professor.;;;;;;;
25 -34;Feminino;Superior Completo;Bacharel em Direito;Estudante de arquitetura ;Sim;Sim;Assistência profissional;Ajuda com tarefas escolares, Geração de ideias;4;2;4;5;5;4;Melhoria na compreensão de textos, Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Não;;;;Aumento da produtividade, Redução de erros humanos, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não;Respostas mais específicas da minha área de estudo;3;Em um futuro próximo;Na área de design de interiores, a IA consegue montar diferentes ambientes como opção para o cliente;;;;;;;
35-39;Feminino;Pós Graduação (MBA);Design de  Moda ;Especialista em Tecnologia ;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional, Para ajudar na correção da ortografia;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Revisão de textos, Curiosidades e fatos triviais;4;4;4;4;5;5;Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras., Reconhecimento e resposta a comandos de voz., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Speech Text, Google Translate;Muito piores;As outras ferramentas são mais simples! ;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não;Otimização de tempo ;2;Em um futuro próximo;"Secretaria 
=======
40-49;Masculino;Mestrado;Design;Estudante de doutorado ;Sim;Não;;;;;;;;;;;Google Assistant, Midjourney, Google Translate, Outro ChatBot (seja em website e/ou WhatsApp);Muito melhores (que o Chat GPT);;Aumento da produtividade, Redução de erros humanos, Otimização de tempo;Não ;Maior qualidade ;2;Em um futuro próximo;;;;;;;;
50-59;Masculino;Superior Completo;Ciências Econômicas;Designer;Sim;Não;;;;;;;;;;;Não utilizei nenhuma das anteriores;Nunca utilizei outras ferramentas.;;Aumento da produtividade, Otimização de tempo;Não;Melhoria na pesquisa;3;;;;;;;;;
25 -34;Masculino;Mestrado;Design (Bacharel);Docência ;Sim;Sim;Diversão/Curiosidade, Assistência pessoal;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Curiosidades e fatos triviais, Tradução, Ajuda com resolução de problemas;4;3;2;3;3;4;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Incorporação de conhecimento especializado em áreas específicas., Aumento da capacidade de compreender e gerar conteúdo multilíngue., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Alexa (Amazon), Cortana (Microsoft);Piores;"Não vejo vantagens, mas gosto de utilizar AI que geram imagens. As ""criações"" são bem interessantes, contudo não consigo pensar em muitas utilidades para as criações (a não ser talvez, as aulternativas criads para ilustração de ""fanfics"")";Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas;Não ;Penso que análise de imagens poderia ajudar ;2;Não sei dizer;acho que será difícil a IA substituir um professor.;;;;;;;
25 -34;Feminino;Superior Completo;Direito;Estudante de arquitetura ;Sim;Sim;Assistência profissional;Ajuda com tarefas escolares, Geração de ideias;4;2;4;5;5;4;Melhoria na compreensão de textos, Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Não;;;;Aumento da produtividade, Redução de erros humanos, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não;Respostas mais específicas da minha área de estudo;3;Em um futuro próximo;Na área de design de interiores, a IA consegue montar diferentes ambientes como opção para o cliente;;;;;;;
